14,2,63,4,3,0,1,0,0,0,0,0,0,0,0,0,0,27,38,71.1,323,71,22,22,100,5,7,71.4,0,3,0,0,0.4,0.2,2,1,2,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,41,73.2,367,89,22,24,91.7,3,5,60,3,7,42.9,0,0,0,0,4,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,4,5,1,0,1,0.212,1.0,0.84,0.308,0.565,0.813,0.598,0.25,0.807,0.2,1.0,0.781,0.533,0.278,0.576,0.427,0.419,0.838,0,0,1,0
15,-1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,80,164,35,9,10,90,2,3,66.7,1,2,50,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5,4,1,0,0,0,0,0,0,0,0,0,0,0,36,49,73.5,519,29,24,27,88.9,11,15,73.3,1,4,25,0,0.1,0.1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,-1,0.212,1.0,0.84,0.308,0.565,0.813,0.598,0.25,0.807,0.829,1.0,0.469,0.333,1.0,0.364,0.693,-0.105,0.505,0,0,1,1
16,-2,90,5,3,0,1,0,1,0,0,0,0,0,0,0,0,32,34,94.1,444,79,19,19,100,12,13,92.3,0,0,0,0,0.3,0.3,1,0,1,0,2,4,0,0,3,1,1,3,33.3,2,0,0,0,0,4,0,0,90,3,1,1,1,0,0,0,2,1,0,1,0,0,0,16,26,61.5,291,60,10,13,76.9,3,7,42.9,3,6,50,1,0.9,0.6,2,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,2,0.171,1.0,0.844,0.333,0.333,0.746,0.56,0.535,0.869,1.0,1.0,0.28,0.615,1.0,0.493,0.963,-0.875,0.349,0,1,3,1
17,3,90,5,4,1,0,0,0,0,1,1,0,0,0,0,0,23,34,67.6,374,64,11,13,84.6,11,14,78.6,1,3,33.3,1,0.5,0.3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,73,1,1,0,0,0,0,0,0,0,0,0,0,0,0,27,32,84.4,280,62,19,20,95,6,8,75,0,1,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.171,1.0,0.844,0.333,0.333,0.746,0.56,0.535,0.869,0.758,1.0,0.4,0.462,0.957,0.573,0.683,-0.271,0.434,0,1,3,0
18,2,90,8,7,0,0,1,0,0,1,1,0,0,0,0,0,35,47,74.5,620,94,18,24,75,11,12,91.7,5,8,62.5,1,0.5,0.2,4,2,1,1,2,2,1,0,1,1,0,2,0,2,1,0,1,0,2,2,0,90,4,2,0,1,0,1,0,1,0,0,0,0,1,0,24,31,77.4,286,63,18,22,81.8,3,4,75,1,1,100,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0.212,1.0,0.84,0.308,0.565,0.813,0.598,0.25,0.807,1.0,1.0,0.281,0.867,0.889,0.381,1.0,-0.349,0.404,1,0,7,2
19,3,77,6,6,0,0,0,0,0,1,1,0,0,0,0,0,16,25,64,193,44,11,16,68.8,5,5,100,0,1,0,0,0.1,0.1,1,1,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,90,8,6,1,0,1,0,0,0,0,0,0,0,0,0,27,33,81.8,389,92,15,18,83.3,11,13,84.6,1,2,50,0,0.5,0.1,4,2,2,0,8,2,0,0,0,2,2,3,66.7,1,0,0,0,0,2,0,0,1,0.212,1.0,0.84,0.308,0.565,0.813,0.598,0.25,0.807,0.543,0.5,0.094,0.2,0.722,0.102,0.573,-0.36,0.121,2,0,3,2
20,5,77,3,2,1,0,0,0,0,0,0,0,0,0,0,0,29,39,74.4,418,98,19,21,90.5,7,11,63.6,2,5,40,0,0.4,0.4,2,0,0,0,2,1,1,1,0,0,0,0,0,0,2,0,2,0,1,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,71.4,73,23,3,4,75,2,3,66.7,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-5,0.171,1.0,0.844,0.333,0.333,0.746,0.56,0.535,0.869,0.091,1.0,1.0,0.615,0.217,1.0,0.329,1.0,1.0,1,0,1,1
21,-1,83,2,2,0,0,0,0,0,0,0,0,0,0,0,0,13,24,54.2,177,23,6,10,60,4,4,100,1,6,16.7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90,3,1,0,0,1,1,0,1,0,0,0,0,1,0,27,34,79.4,336,61,20,22,90.9,5,8,62.5,1,2,50,0,0,0.1,0,3,0,0,5,2,1,1,1,0,0,0,0,0,1,0,1,2,4,1,0,1,0.171,1.0,0.844,0.333,0.333,0.746,0.56,0.535,0.869,0.545,0.5,0.08,0.615,0.391,0.213,0.341,-0.25,0.169,0,0,4,1
22,0,90,7,4,1,1,0,1,0,0,0,0,0,0,0,0,32,39,82.1,526,146,16,19,84.2,14,15,93.3,2,3,66.7,0,0.1,0.3,1,2,3,0,5,1,1,0,1,0,0,2,0,2,1,0,1,0,1,2,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,31,67.7,192,30,12,14,85.7,4,8,50,0,3,0,0,0,0,0,2,0,0,1,2,1,2,0,0,2,4,50,2,1,0,1,2,4,1,0,-1,0.212,1.0,0.84,0.308,0.565,0.813,0.598,0.25,0.807,0.714,1.0,0.5,0.4,0.889,0.331,0.6,-0.07,0.545,0,0,1,0
23,1,70,2,2,0,0,0,0,0,0,0,0,0,0,0,0,17,22,77.3,199,35,13,16,81.3,4,4,100,0,0,0,0,0.3,0.2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,32,2,2,0,0,0,0,0,0,0,0,0,0,0,0,16,22,72.7,181,56,13,15,86.7,3,3,100,0,1,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,-2,0.171,1.0,0.844,0.333,0.333,0.746,0.56,0.535,0.869,0.636,1.0,0.44,0.846,0.696,0.653,0.768,-0.292,0.53,1,0,6,3
24,1,90,5,4,1,0,0,0,0,1,1,0,0,0,0,0,37,49,75.5,597,137,23,29,79.3,10,13,76.9,4,6,66.7,0,0.1,0.1,1,1,2,1,3,2,1,0,2,0,0,1,0,1,0,0,0,0,2,0,0,70,2,2,0,0,0,0,0,0,0,0,0,0,0,0,17,22,77.3,199,35,13,16,81.3,4,4,100,0,0,0,0,0.3,0.2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0.171,1.0,0.844,0.333,0.333,0.746,0.56,0.535,0.869,0.758,1.0,0.4,0.615,0.87,0.4,0.683,-0.542,0.458,0,0,5,1
25,1,90,7,5,1,0,1,0,0,0,0,0,0,0,0,0,19,30,63.3,239,91,16,20,80,2,6,33.3,1,2,50,0,0.7,0.6,6,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,89,6,2,3,0,0,1,0,0,0,0,0,0,0,0,26,36,72.2,489,114,9,11,81.8,14,20,70,3,4,75,0,0.2,0.3,2,2,2,0,4,2,0,1,1,0,1,1,100,0,1,0,1,0,2,0,0,1,0.212,1.0,0.84,0.308,0.565,0.813,0.598,0.25,0.807,0.571,0.5,0.062,0.133,0.833,0.144,0.613,-0.337,0.081,1,1,1,1
26,1,90,3,3,0,0,0,0,0,2,2,0,0,0,0,0,37,50,74,458,96,27,29,93.1,9,16,56.3,0,1,0,1,0.1,0.1,2,2,3,0,6,2,2,0,2,0,1,3,33.3,2,2,0,2,2,4,0,0,84,4,3,1,0,0,0,0,1,1,0,0,0,0,0,21,32,65.6,409,85,11,15,73.3,7,9,77.8,3,6,50,1,0.2,0.1,3,1,1,1,2,0,0,0,0,0,0,2,0,2,1,0,1,1,1,1,0,2,0.171,1.0,0.844,0.333,0.333,0.746,0.56,0.535,0.869,0.909,1.0,0.32,0.692,0.913,0.747,0.939,-0.438,0.398,0,0,5,1
27,2,84,4,3,0,0,0,1,0,0,0,0,0,0,0,0,20,27,74.1,344,50,10,13,76.9,10,11,90.9,0,2,0,0,0.1,0.1,2,0,1,0,2,4,2,2,1,1,1,1,100,0,1,0,1,2,6,1,0,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,27,81.5,311,55,14,16,87.5,6,6,100,1,2,50,0,0,0.1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,-4,0.171,1.0,0.844,0.333,0.333,0.746,0.56,0.535,0.869,0.273,1.0,0.76,0.692,0.435,0.987,0.573,0.562,0.795,0,0,1,1
28,-2,73,2,2,0,0,0,0,0,0,0,0,0,0,0,0,15,21,71.4,214,15,9,10,90,4,7,57.1,1,2,50,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,90,6,3,1,0,0,2,0,0,0,0,0,0,0,0,26,41,63.4,514,136,12,14,85.7,9,16,56.3,5,8,62.5,0,0.3,0.3,3,3,0,0,3,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,2,0.212,1.0,0.84,0.308,0.565,0.813,0.598,0.25,0.807,0.6,1.0,0.562,0.467,0.722,0.525,0.667,0.14,0.616,1,0,3,1
