Total,Round,Venue,Result,Opponent,Min,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Cmp,Att,Cmp1,TotDist,PrgDist,Cmp,Att,Cmp2,Cmp,Att,Cmp%,Cmp,Att,Cmp3,Ast,xAG,xA,KP,aaa,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl1,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
21,14,Away,-1,Manchester Utd,90,4,2,0,0,2,0,0,2,1,0,0,1,0,0,21,27,77.8,280,56,14,16,87.5,5,7,71.4,1,2,50,1,0.6,0.1,3,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0
22,15,Away,-1,Everton,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,50,149,3,6,10,60,2,4,50,1,3,33.3,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,100,0,2,0,2,1,2,0,0
23,16,Home,3,Southampton,90,4,1,2,0,1,0,0,1,0,1,0,0,0,0,15,25,60,262,84,9,11,81.8,3,5,60,3,7,42.9,1,0.4,0.4,3,0,0,0,1,3,2,2,1,0,2,2,100,0,1,1,0,0,3,0,0
24,17,Home,2,West Ham,81,2,2,0,0,0,0,0,0,0,0,0,0,0,0,17,26,65.4,290,25,10,13,76.9,4,6,66.7,3,6,50,0,0.3,0.3,1,0,1,0,2,4,3,1,2,1,1,3,33.3,2,1,0,1,0,4,0,0
25,18,Away,3,Leeds United,90,6,4,1,1,0,0,0,1,0,0,1,0,0,0,16,28,57.1,260,40,7,12,58.3,6,8,75,2,4,50,0,0.3,0.1,5,0,0,0,0,2,1,0,1,1,1,5,20,4,3,0,3,3,5,0,0
26,19,Away,5,Norwich City,81,4,3,0,0,1,0,0,2,2,0,0,0,0,0,21,29,72.4,326,64,10,12,83.3,8,11,72.7,1,1,100,0,0,0,0,0,1,0,2,3,3,2,0,1,1,1,100,0,1,0,1,1,4,1,0
27,21,Home,-1,Manchester City,90,3,1,0,2,0,0,0,0,0,0,0,0,0,0,6,11,54.5,82,8,4,6,66.7,2,3,66.7,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,100,0,1,0,1,3,4,0,0
28,23,Home,0,Burnley,90,4,4,0,0,0,0,0,0,0,0,0,0,0,0,34,49,69.4,495,88,20,20,100,12,18,66.7,2,8,25,0,0.1,0.1,2,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
29,24,Away,1,Wolves,68,2,2,0,0,0,0,0,0,0,0,0,0,0,0,13,22,59.1,258,48,5,8,62.5,4,7,57.1,3,4,75,0,0,0,0,0,2,1,2,1,1,0,1,0,1,5,20,4,1,0,1,0,1,1,0
30,20,Home,1,Wolves,70,5,5,0,0,0,0,0,0,0,0,0,0,0,0,19,25,76,304,43,10,14,71.4,9,11,81.8,0,0,0,0,0.2,0.2,2,0,2,0,2,1,0,0,1,0,1,2,50,1,1,0,1,2,3,0,0
31,28,Away,1,Watford,72,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,18,72.2,169,38,7,8,87.5,4,6,66.7,1,3,33.3,0,0.1,0.1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,2,0,0
32,29,Home,2,Leicester City,77,4,1,1,1,0,1,0,1,0,1,0,0,0,0,13,16,81.3,195,81,10,12,83.3,2,3,66.7,1,1,100,1,0.4,0.6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3,0
33,27,Home,-2,Liverpool,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,35,65.7,395,26,13,18,72.2,8,11,72.7,2,4,50,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,100,0,1,0,1,1,2,2,0
34,31,Away,-3,Crystal Palace,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,28,82.1,282,58,16,18,88.9,6,7,85.7,0,0,0,0,0.1,0.1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
35,32,Home,-1,Brighton,73,2,2,0,0,0,0,0,0,0,0,0,0,0,0,17,23,73.9,297,91,8,10,80,8,9,88.9,1,2,50,0,0,0.1,0,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,33,Away,-1,Southampton,90,3,2,0,1,0,0,0,0,0,0,0,0,0,0,32,40,80,405,42,23,27,85.2,9,11,81.8,0,1,0,0,0,0.1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,4,0,0,1,0
37,25,Away,2,Chelsea,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,33.3,24,7,0,0,0,1,2,50,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
38,34,Home,2,Manchester Utd,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,100,88,22,3,3,100,3,3,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,35,Away,1,West Ham,90,3,2,0,0,0,0,1,1,1,0,0,0,0,0,17,22,77.3,211,52,10,11,90.9,6,7,85.7,0,2,0,1,0.3,0.2,2,0,0,0,2,2,1,1,1,0,0,2,0,2,1,0,1,2,4,0,0
40,36,Home,1,Leeds United,77,7,3,0,2,1,1,0,2,1,0,1,0,0,0,32,38,84.2,500,74,21,23,91.3,7,10,70,4,4,100,1,0.4,0.3,2,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41,22,Away,-3,Tottenham,63,3,3,0,0,0,0,0,0,0,0,0,0,0,0,17,23,73.9,236,43,12,14,85.7,5,7,71.4,0,1,0,0,0.2,0.1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
42,37,Away,-2,Newcastle Utd,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,66.7,207,36,6,6,100,6,9,66.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
43,38,Home,4,Everton,90,7,4,0,1,2,0,0,2,1,0,0,1,0,0,36,43,83.7,624,125,14,16,87.5,20,24,83.3,2,3,66.7,1,0.9,0.4,3,2,2,0,7,1,1,1,0,0,0,2,0,2,2,0,2,1,2,3,0
44,1,Away,2,Crystal Palace,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,28,85.7,404,40,12,14,85.7,8,9,88.9,3,4,75,0,0.1,0,1,3,0,0,3,0,0,0,0,0,0,2,0,2,1,0,1,0,0,1,0
45,2,Home,2,Leicester City,90,6,4,1,0,0,1,0,1,1,0,0,0,0,0,24,33,72.7,302,109,19,19,100,4,9,44.4,1,5,20,0,0.5,0.3,4,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0
46,3,Away,3,Bournemouth,73,4,2,0,1,1,0,0,2,1,0,0,1,0,0,15,21,71.4,240,55,6,7,85.7,4,5,80,2,4,50,0,0,0,0,0,1,1,2,1,1,0,0,1,1,1,100,0,1,0,1,0,1,0,0
47,4,Home,1,Fulham,90,8,5,0,1,1,0,1,1,0,0,0,1,0,0,29,42,69,527,188,13,15,86.7,10,11,90.9,5,12,41.7,0,0.4,0.4,5,2,3,0,6,4,2,1,1,2,0,1,0,1,3,0,3,0,4,0,0
